Player,useless,Pos,Age,Tm,G,GS,FG,FGA,FG%,eFG%,FT,FTA,FT%,AST,STL,BLK,TOV,PS/G
Alex Abrines,abrinal01,SG,23,OKC,22,0,1.6,4.4,.365,.469,0.6,0.7,.867,0.4,0.3,0.0,0.7,4.7
Quincy Acy,acyqu01,PF,26,DAL,6,0,0.8,2.8,.294,.324,0.3,0.5,.667,0.0,0.0,0.0,0.3,2.2
Steven Adams,adamsst01,C,23,OKC,29,29,4.7,8.0,.582,.582,2.3,3.2,.723,0.8,1.3,0.9,2.0,11.7
Arron Afflalo,afflaar01,SG,31,SAC,25,18,2.7,6.5,.411,.463,1.4,1.6,.897,1.1,0.3,0.0,0.4,7.4
Alexis Ajinca,ajincal01,C,28,NOP,19,9,2.0,4.3,.469,.469,0.5,0.6,.750,0.4,0.4,0.6,0.8,4.5
Cole Aldrich,aldrico01,C,28,MIN,26,0,1.2,2.1,.564,.564,0.5,0.7,.722,0.6,0.6,0.6,0.3,2.9
LaMarcus Aldridge,aldrila01,PF,31,SAS,26,26,6.3,13.7,.463,.478,3.3,3.9,.833,1.9,0.7,1.0,1.6,16.3
Lavoy Allen,allenla01,PF,27,IND,27,0,0.7,2.2,.322,.322,0.1,0.2,.667,1.0,0.3,0.3,0.3,1.6
Tony Allen,allento01,SG,35,MEM,24,22,4.2,9.0,.470,.477,1.4,2.1,.667,1.0,1.8,0.5,1.4,10.0
Al-Farouq Aminu,aminual01,SF,26,POR,13,10,2.0,6.8,.292,.360,0.9,1.8,.522,1.8,1.3,0.6,1.5,5.8
Chris Andersen,anderch01,C,38,CLE,12,0,0.8,1.8,.409,.409,0.8,1.2,.714,0.4,0.4,0.6,0.4,2.3
Alan Anderson,anderal01,SF,34,LAC,8,0,0.8,2.5,.300,.400,0.1,0.3,.500,0.4,0.1,0.0,0.4,2.1
Justin Anderson,anderju01,SF,23,DAL,27,2,2.6,6.8,.383,.443,1.8,2.3,.778,0.7,0.6,0.4,1.1,7.8
Kyle Anderson,anderky01,SG,23,SAS,25,7,1.0,2.1,.453,.500,0.6,0.7,.833,0.8,0.8,0.3,0.4,2.7
Ryan Anderson,anderry01,PF,28,HOU,30,30,4.5,11.0,.410,.529,1.7,2.0,.881,1.0,0.5,0.2,1.0,13.3
Giannis Antetokounmpo,antetgi01,SG,22,MIL,27,27,8.2,15.8,.520,.543,5.7,7.2,.785,5.8,2.1,2.0,3.1,22.9
Carmelo Anthony,anthoca01,SF,32,NYK,28,28,8.0,18.7,.429,.484,4.4,5.0,.872,2.9,1.0,0.4,1.9,22.5
Trevor Ariza,arizatr01,SF,31,HOU,30,30,4.6,10.4,.438,.569,0.9,1.3,.667,1.9,2.1,0.3,1.0,12.7
Darrell Arthur,arthuda01,PF,28,DEN,13,3,1.8,4.0,.442,.558,0.2,0.2,1.000,1.2,0.2,0.3,1.1,4.6
Omer Asik,asikom01,C,30,NOP,28,18,1.1,2.3,.477,.477,0.8,1.4,.590,0.5,0.2,0.4,0.4,3.0
D.J. Augustin,augusdj01,PG,29,ORL,31,15,2.9,7.4,.391,.487,1.5,1.8,.836,3.1,0.5,0.0,1.1,8.7
Luke Babbitt,babbilu01,SF,27,MIA,23,11,1.3,4.0,.326,.440,0.3,0.4,.778,0.4,0.3,0.1,0.3,3.8
Ron Baker,bakerro01,SG,23,NYK,10,0,1.4,3.8,.368,.421,0.2,0.4,.500,0.9,0.4,0.1,0.8,3.4
Wade Baldwin,baldwwa01,PG,20,MEM,20,1,1.3,4.1,.321,.333,1.2,1.4,.821,2.2,0.7,0.3,1.5,3.9
Leandro Barbosa,barbole01,SG,34,PHO,28,0,2.8,5.9,.473,.527,0.2,0.3,.750,1.1,0.5,0.1,0.3,6.4
J.J. Barea,bareajo01,PG,32,DAL,11,5,5.2,12.6,.410,.478,2.5,2.5,.964,5.2,0.7,0.1,1.7,14.5
Harrison Barnes,barneha02,SF,24,DAL,29,29,8.2,17.7,.464,.491,3.1,3.6,.864,1.3,0.9,0.2,1.3,20.4
Matt Barnes,barnema02,SF,36,SAC,27,6,2.4,6.9,.357,.441,0.9,1.3,.667,2.5,0.8,0.4,1.5,6.9
Will Barton,bartowi01,SG,26,DEN,17,13,5.1,11.5,.439,.497,2.8,3.9,.727,2.4,0.9,0.5,1.9,14.3
Brandon Bass,bassbr01,PF,31,LAC,15,0,1.5,2.9,.535,.547,0.5,0.5,1.000,0.5,0.1,0.2,0.3,3.7
Nicolas Batum,batumni01,SG,28,CHO,28,28,4.6,11.9,.389,.466,2.9,3.6,.804,5.6,1.1,0.4,2.5,14.0
Jerryd Bayless,bayleje01,PG,28,PHI,3,1,3.7,10.7,.344,.375,3.0,3.3,.900,4.3,0.0,0.0,3.0,11.0
Aron Baynes,baynear01,C,30,DET,31,1,1.5,3.5,.439,.439,1.3,1.5,.889,0.3,0.4,0.4,0.9,4.3
Kent Bazemore,bazemke01,SF,27,ATL,27,24,3.9,10.7,.368,.418,1.6,2.3,.698,2.6,1.4,0.7,1.7,10.6
Bradley Beal,bealbr01,SG,23,WAS,25,25,7.8,17.2,.455,.537,4.2,5.2,.806,3.5,1.0,0.3,1.7,22.7
Malik Beasley,beaslma01,SG,20,DEN,9,0,1.0,3.2,.310,.379,0.4,0.7,.667,0.3,0.2,0.0,0.0,2.9
Michael Beasley,beaslmi01,SF,28,MIL,23,0,3.4,6.6,.523,.546,1.1,1.6,.694,0.8,0.4,0.3,1.2,8.3
Marco Belinelli,belinma01,SG,30,CHO,29,0,4.0,8.8,.459,.563,1.5,1.8,.863,1.8,0.6,0.2,0.8,11.4
DeAndre' Bembry,bembrde01,SF,22,ATL,9,0,0.4,1.6,.286,.286,0.1,0.2,.500,0.2,0.1,0.0,0.4,1.0
Dragan Bender,bendedr01,PF,19,PHO,23,0,1.0,2.8,.359,.461,0.0,0.1,.000,0.3,0.2,0.4,0.6,2.6
Anthony Bennett,bennean01,PF,23,BRK,21,1,1.5,3.9,.390,.463,1.1,1.5,.719,0.5,0.2,0.1,0.6,4.7
Davis Bertans,bertada01,PF,24,SAS,23,1,1.0,2.5,.404,.544,0.3,0.4,.778,0.6,0.1,0.5,0.3,3.0
Patrick Beverley,beverpa01,SG,28,HOU,19,19,3.3,7.5,.434,.531,0.5,0.7,.714,4.8,1.4,0.5,1.5,8.5
Bismack Biyombo,biyombi01,C,24,ORL,30,15,2.2,4.4,.496,.496,1.8,3.7,.482,1.2,0.3,1.6,1.4,6.2
Nemanja Bjelica,bjeline01,PF,28,MIN,26,1,2.3,5.5,.410,.514,0.7,0.9,.750,1.2,0.6,0.2,0.9,6.4
Tarik Black,blackta01,C,25,LAL,24,0,2.1,4.3,.500,.500,1.4,1.8,.786,0.6,0.3,0.6,0.7,5.6
Eric Bledsoe,bledser01,PG,27,PHO,29,29,6.9,15.4,.444,.489,4.8,5.8,.821,5.3,1.5,0.4,3.0,19.9
Bojan Bogdanovic,bogdabo02,SF,27,BRK,28,28,5.0,11.2,.446,.522,3.0,3.5,.847,1.4,0.4,0.1,1.4,14.7
Andrew Bogut,bogutan01,C,32,DAL,16,16,1.8,3.8,.475,.475,0.2,0.7,.273,2.2,0.6,0.9,1.8,3.8
Joel Bolomboy,bolomjo01,PF,23,UTA,9,0,0.3,0.6,.600,.600,0.2,0.4,.500,0.1,0.1,0.1,0.1,0.9
Devin Booker,bookede01,SG,20,PHO,28,28,7.0,17.1,.412,.460,3.4,4.3,.807,3.1,0.8,0.3,2.6,19.1
Trevor Booker,booketr01,PF,29,BRK,27,27,4.1,7.9,.519,.535,1.3,2.0,.679,2.3,1.8,0.4,2.0,9.8
Avery Bradley,bradlav01,SG,26,BOS,29,29,7.2,15.0,.482,.552,1.3,1.7,.780,2.4,1.2,0.2,1.8,17.9
Corey Brewer,breweco01,SF,30,HOU,30,3,1.4,3.4,.398,.442,0.5,0.7,.636,1.0,0.5,0.2,0.5,3.5
Malcolm Brogdon,brogdma01,SG,24,MIL,27,0,2.9,6.8,.418,.486,1.0,1.2,.848,3.1,1.0,0.1,1.3,7.7
Aaron Brooks,brookaa01,PG,32,IND,28,0,2.0,5.1,.382,.444,0.6,0.7,.895,2.3,0.6,0.1,1.2,5.2
Anthony Brown,brownan02,SF,24,NOP,9,0,1.6,4.6,.341,.415,0.0,0.0,,0.7,0.6,0.1,0.6,3.8
Bobby Brown,brownbo02,PG,32,HOU,6,0,0.2,2.0,.083,.083,0.0,0.0,,0.0,0.0,0.0,0.2,0.3
Jaylen Brown,brownja02,SF,20,BOS,29,3,2.0,4.6,.433,.478,0.8,1.3,.622,0.6,0.4,0.3,0.7,5.2
Nicolas Brussino,brussni01,SF,23,DAL,22,0,0.5,1.4,.355,.452,0.3,0.3,.857,0.8,0.3,0.1,0.3,1.5
Reggie Bullock,bullore01,SF,25,DET,4,0,1.8,4.0,.438,.500,0.0,0.0,,0.3,0.3,0.5,0.3,4.0
Trey Burke,burketr01,PG,24,WAS,24,0,2.0,4.5,.458,.505,0.4,0.6,.600,1.3,0.2,0.1,0.6,4.9
Jimmy Butler,butleji01,SF,27,CHI,28,28,7.5,16.5,.452,.486,8.4,9.4,.890,4.3,1.7,0.3,2.1,24.4
Bruno Caboclo,cabocbr01,SF,21,TOR,5,0,0.2,0.8,.250,.375,0.0,0.0,,0.6,0.4,0.0,0.4,0.6
Jose Calderon,caldejo01,PG,35,LAL,14,9,1.9,3.9,.481,.574,0.3,0.3,1.000,2.6,0.4,0.1,1.6,4.7
Kentavious Caldwell-Pope,caldwke01,SG,23,DET,30,30,5.1,12.5,.411,.493,1.9,2.3,.826,2.9,1.1,0.1,1.1,14.2
Isaiah Canaan,canaais01,SG,25,CHI,25,0,2.2,6.0,.376,.446,0.9,1.0,.880,1.1,0.8,0.0,0.7,6.2
Clint Capela,capelca01,C,22,HOU,28,28,5.4,8.4,.640,.640,1.0,2.3,.446,0.9,0.4,1.6,1.3,11.8
DeMarre Carroll,carrode01,SF,30,TOR,23,23,3.6,8.1,.444,.551,1.2,1.7,.700,1.0,1.1,0.4,0.5,10.2
Vince Carter,cartevi01,SG,40,MEM,24,0,2.8,7.4,.384,.472,1.2,1.6,.737,1.8,0.8,0.3,0.8,8.1
Michael Carter-Williams,cartemi01,PG,25,CHI,3,0,1.3,5.0,.267,.300,1.0,1.3,.750,2.7,0.7,0.7,2.0,4.0
Omri Casspi,casspom01,SF,28,SAC,16,2,2.9,6.2,.475,.525,0.6,0.9,.600,1.4,0.4,0.1,1.0,7.1
Willie Cauley-Stein,caulewi01,C,23,SAC,25,0,2.2,4.0,.566,.566,0.6,1.2,.483,0.4,0.4,0.4,0.6,5.0
Tyson Chandler,chandty01,C,34,PHO,21,20,3.0,4.3,.703,.703,1.4,2.1,.667,0.5,0.8,0.4,1.7,7.5
Wilson Chandler,chandwi01,SF,29,DEN,26,6,6.6,14.7,.446,.500,2.1,2.8,.743,1.9,0.8,0.2,1.5,16.8
Marquese Chriss,chrisma01,PF,19,PHO,29,22,2.6,6.2,.417,.467,1.0,1.6,.638,0.5,0.5,0.5,1.2,6.8
Rakeem Christmas,chrisra01,PF,25,IND,3,0,0.3,1.3,.250,.250,0.3,0.3,1.000,0.3,0.0,0.3,0.0,1.0
Semaj Christon,chrisse01,PG,24,OKC,28,0,1.3,4.1,.322,.343,0.3,0.6,.529,2.5,0.4,0.1,0.6,3.1
Ian Clark,clarkia01,SG,25,GSW,27,0,2.9,5.5,.523,.614,0.5,0.7,.700,1.2,0.5,0.1,0.5,7.3
Jordan Clarkson,clarkjo01,SG,24,LAL,32,3,5.7,13.1,.438,.488,1.8,2.1,.836,2.3,1.3,0.1,2.0,14.5
Darren Collison,collida01,PG,29,SAC,21,17,4.4,9.9,.449,.500,2.7,3.2,.824,4.3,1.0,0.0,1.9,12.5
Nick Collison,collini01,PF,36,OKC,9,0,0.4,0.8,.571,.571,0.1,0.2,.500,0.8,0.1,0.0,0.1,1.0
Mike Conley,conlemi01,PG,29,MEM,21,20,5.6,13.5,.413,.500,4.4,5.1,.869,5.7,1.5,0.5,2.2,17.9
Pat Connaughton,connapa01,SG,24,POR,12,0,0.7,0.9,.727,.773,0.3,0.5,.667,0.3,0.0,0.1,0.0,1.8
DeMarcus Cousins,couside01,C,26,SAC,28,28,9.8,21.7,.453,.493,7.6,9.9,.768,3.3,1.1,1.5,3.0,29.0
Robert Covington,covinro01,SF,26,PHI,25,25,3.4,9.6,.353,.446,1.4,1.8,.778,1.2,1.6,0.7,1.8,10.0
Allen Crabbe,crabbal01,SG,24,POR,31,1,3.4,7.6,.445,.544,1.5,1.8,.855,1.2,0.5,0.2,0.9,9.8
Jamal Crawford,crawfja01,SG,36,LAC,30,0,4.2,10.1,.418,.482,2.0,2.2,.881,2.1,0.6,0.1,1.4,11.7
Jae Crowder,crowdja01,SF,26,BOS,21,21,4.7,9.8,.478,.588,1.9,2.1,.889,2.4,1.1,0.3,1.3,13.4
Dante Cunningham,cunnida01,SF,29,NOP,18,10,2.1,5.3,.396,.500,0.2,0.4,.429,0.6,0.6,0.6,0.6,5.5
Seth Curry,curryse01,PG,26,DAL,25,6,4.0,9.2,.435,.520,0.6,0.9,.727,2.8,1.1,0.1,1.3,10.2
Stephen Curry,curryst01,PG,28,GSW,30,30,8.0,17.0,.468,.578,4.7,5.0,.934,5.9,1.8,0.2,2.7,24.4
Troy Daniels,danietr01,SG,25,MEM,20,3,3.4,9.0,.378,.492,1.1,1.3,.846,0.9,0.4,0.1,0.7,10.0
Anthony Davis,davisan02,PF,23,NOP,29,29,10.6,21.7,.490,.504,7.9,9.8,.807,2.2,1.5,2.7,2.4,29.8
Deyonta Davis,davisde01,C,20,MEM,21,0,1.0,1.6,.588,.588,0.3,0.5,.545,0.1,0.0,0.6,0.4,2.2
Ed Davis,davised01,PF,27,POR,31,11,1.5,3.1,.500,.500,1.2,1.8,.673,0.6,0.4,0.6,0.9,4.3
Dewayne Dedmon,dedmode01,C,27,SAS,23,1,1.9,3.4,.564,.564,0.7,1.1,.680,0.4,0.5,1.0,0.5,4.6
Sam Dekker,dekkesa01,SF,22,HOU,30,0,2.8,5.6,.494,.565,0.6,1.0,.586,1.2,0.6,0.3,0.8,6.9
Malcolm Delaney,delanma01,PG,27,ATL,29,0,2.0,5.3,.379,.402,1.3,1.4,.881,2.8,0.4,0.0,1.4,5.5
Matthew Dellavedova,dellama01,PG,26,MIL,27,27,3.0,7.8,.386,.455,0.7,0.9,.833,5.6,0.9,0.0,1.9,7.8
Luol Deng,denglu01,SF,31,LAL,32,32,3.2,8.1,.394,.458,0.7,1.1,.657,1.5,1.1,0.3,0.8,8.1
DeMar DeRozan,derozde01,SG,27,TOR,28,28,10.0,20.8,.482,.493,7.4,8.8,.849,4.1,1.2,0.1,2.6,27.9
Cheick Diallo,diallch01,PF,20,NOP,6,0,2.7,4.8,.552,.552,1.2,1.7,.700,0.3,0.3,0.3,0.3,6.5
Boris Diaw,diawbo01,PF,34,UTA,21,18,2.1,4.6,.458,.500,0.4,0.4,.889,2.6,0.2,0.0,1.6,5.0
Gorgui Dieng,dienggo01,PF,27,MIN,28,28,4.3,8.3,.519,.528,1.6,2.1,.733,2.1,0.9,1.3,1.8,10.4
Spencer Dinwiddie,dinwisp01,PG,23,BRK,6,0,1.2,3.2,.368,.368,1.0,1.2,.857,1.0,0.5,0.3,1.3,3.3
Toney Douglas,douglto01,PG,30,MEM,6,0,2.3,6.0,.389,.431,0.7,0.8,.800,2.7,1.0,0.2,0.8,5.8
Goran Dragic,dragigo01,PG,30,MIA,25,25,6.9,15.4,.451,.503,3.7,4.6,.802,6.7,1.0,0.2,3.2,19.2
Andre Drummond,drumman01,C,23,DET,30,30,6.0,11.3,.529,.531,2.0,4.2,.472,1.1,1.5,1.0,2.0,14.0
Jared Dudley,dudleja01,PF,31,PHO,28,7,3.0,6.1,.494,.624,0.8,1.3,.622,1.8,0.8,0.3,1.3,8.4
Mike Dunleavy,dunlemi02,SF,36,CLE,20,2,1.4,3.9,.364,.474,0.7,0.9,.765,0.9,0.3,0.1,0.5,4.3
Kris Dunn,dunnkr01,PG,22,MIN,28,5,1.6,4.2,.390,.424,0.8,1.3,.657,2.4,1.0,0.3,1.3,4.4
Kevin Durant,duranke01,SF,28,GSW,30,30,9.0,16.9,.535,.589,5.8,6.7,.865,4.6,1.3,1.6,2.1,25.7
Henry Ellenson,ellenhe01,PF,20,DET,8,0,0.5,1.4,.364,.500,0.0,0.0,,0.1,0.0,0.0,0.3,1.4
Wayne Ellington,ellinwa01,SG,29,MIA,11,8,4.9,11.2,.439,.545,0.7,0.9,.800,2.0,0.8,0.1,0.5,12.9
Monta Ellis,ellismo01,SG,31,IND,24,23,3.7,8.5,.433,.470,1.8,2.1,.840,3.7,1.1,0.5,2.3,9.7
Joel Embiid,embiijo01,C,22,PHI,19,19,6.1,13.2,.464,.510,4.5,6.1,.741,1.8,0.7,2.4,3.5,17.9
James Ennis,ennisja01,SF,26,MEM,17,14,2.8,6.2,.443,.514,1.9,2.4,.805,1.2,0.9,0.2,0.9,8.4
Tyler Ennis,ennisty01,PG,22,HOU,17,0,1.0,2.5,.395,.442,0.1,0.1,.500,1.4,0.3,0.0,0.9,2.3
Tyreke Evans,evansty01,SG,27,NOP,3,0,2.0,6.0,.333,.389,1.0,1.0,1.000,2.7,0.0,0.0,1.3,5.7
Dante Exum,exumda01,PG,21,UTA,28,16,2.4,5.9,.409,.473,0.9,1.1,.833,1.7,0.2,0.3,1.1,6.4
Kenneth Faried,farieke01,PF,27,DEN,28,14,3.5,6.6,.535,.535,2.5,3.6,.693,0.8,0.9,1.0,1.2,9.6
Jordan Farmar,farmajo01,PG,30,SAC,2,0,2.0,6.0,.333,.500,0.0,0.0,,4.5,1.0,0.0,1.5,6.0
Derrick Favors,favorde01,PF,25,UTA,15,9,3.5,7.6,.465,.469,1.9,2.9,.636,0.5,0.9,1.2,1.1,9.0
Kay Felder,feldeka01,PG,21,CLE,12,0,1.3,3.4,.390,.415,1.0,1.3,.750,1.8,0.2,0.1,0.8,3.8
Cristiano Felicio,feliccr01,C,24,CHI,20,0,1.5,3.0,.483,.483,0.6,0.9,.647,0.5,0.3,0.2,0.4,3.5
Raymond Felton,feltora01,PG,32,LAC,28,1,2.3,5.0,.453,.518,0.4,0.5,.786,1.4,0.7,0.3,0.8,5.5
Yogi Ferrell,ferreyo01,PG,23,BRK,10,0,1.8,4.9,.367,.449,1.0,1.6,.625,1.7,0.2,0.2,1.4,5.4
Dorian Finney-Smith,finnedo01,PF,23,DAL,28,21,2.0,4.6,.423,.527,0.6,0.8,.783,1.0,0.5,0.4,0.7,5.5
Bryn Forbes,forbebr01,SG,23,SAS,12,0,0.3,1.2,.286,.321,0.1,0.1,1.000,0.1,0.1,0.0,0.0,0.8
Evan Fournier,fournev01,SG,24,ORL,31,31,6.3,13.9,.455,.521,3.4,4.0,.846,3.5,1.0,0.1,2.0,17.8
Randy Foye,foyera01,SG,33,BRK,18,1,1.6,4.6,.349,.458,0.6,0.7,.846,1.9,0.4,0.2,1.3,4.8
Tim Frazier,fraziti01,PG,26,NOP,30,23,3.9,8.9,.434,.489,2.1,2.6,.821,7.3,1.1,0.2,2.4,10.8
Channing Frye,fryech01,C,33,CLE,20,1,3.4,7.5,.450,.601,0.9,1.0,.947,0.8,0.4,0.5,0.6,9.9
Danilo Gallinari,gallida01,SF,28,DEN,26,26,4.7,11.3,.412,.493,5.3,6.0,.873,2.2,0.7,0.3,1.4,16.4
Langston Galloway,gallola01,PG,25,NOP,30,0,3.5,9.1,.388,.491,0.7,0.9,.741,1.5,1.0,0.0,0.7,9.6
Marc Gasol,gasolma01,C,32,MEM,29,29,7.4,16.3,.455,.503,3.7,4.6,.818,4.1,0.9,1.5,2.0,20.1
Pau Gasol,gasolpa01,C,36,SAS,28,28,5.0,10.0,.505,.534,1.5,2.3,.646,2.7,0.4,1.2,1.3,12.1
Rudy Gay,gayru01,SF,30,SAC,23,23,6.7,14.6,.455,.499,4.0,4.7,.844,3.0,1.6,0.7,2.2,18.6
Michael Gbinije,gbinimi01,SG,24,DET,7,0,0.1,1.3,.111,.111,0.3,0.3,1.000,0.3,0.0,0.0,0.0,0.6
Alonzo Gee,geeal01,SF,29,DEN,12,0,0.3,1.1,.231,.231,0.4,0.8,.556,0.5,0.4,0.1,0.2,0.9
Paul George,georgpa01,SF,26,IND,24,24,7.7,17.3,.442,.507,4.1,4.5,.916,3.2,1.8,0.3,3.0,21.7
Jonathan Gibson,gibsojo01,PG,29,DAL,16,0,2.2,5.9,.368,.447,1.3,1.8,.724,1.6,0.5,0.0,1.3,6.6
Taj Gibson,gibsota01,PF,31,CHI,28,28,5.5,9.9,.560,.560,1.4,2.1,.655,1.4,0.5,1.1,1.6,12.4
Manu Ginobili,ginobma01,SG,39,SAS,24,0,2.6,6.7,.385,.484,1.3,1.6,.842,2.5,1.4,0.3,1.5,7.8
Rudy Gobert,goberru01,C,24,UTA,30,30,4.3,6.2,.697,.697,3.8,5.7,.673,0.9,0.6,2.7,1.6,12.4
Archie Goodwin,goodwar01,SG,22,NOP,3,0,0.7,1.7,.400,.500,3.3,3.3,1.000,0.3,0.0,0.3,0.0,5.0
Aaron Gordon,gordoaa01,SF,21,ORL,31,23,4.1,9.6,.425,.473,1.2,2.0,.590,1.7,0.7,0.5,1.1,10.3
